1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
864,0.0,3.0,No,432,ALQ,432,0,None,1980.0,864,TA,10500,70.0,0.0,0,5,4,864,1971,1971,115000
864,0.0,3.0,No,398,ALQ,317,720,RFn,1980.0,864,Gd,7200,60.0,0.0,0,8,5,864,1950,2002,129000
840,828.0,3.0,No,0,None,840,500,RFn,2003.0,1668,Gd,11317,72.0,101.0,68,5,7,840,2003,2003,180000
990,1611.0,4.0,No,0,Unf,612,621,RFn,1998.0,2601,TA,9842,51.0,0.0,0,6,5,612,1921,1998,189000
1496,636.0,1.0,Gd,1441,GLQ,55,612,Fin,1983.0,2132,Gd,12327,79.0,0.0,40,8,8,1496,1983,2009,316600
796,0.0,2.0,No,0,Unf,796,0,None,1980.0,796,TA,3636,40.0,0.0,0,4,4,796,1922,1950,55000
1251,0.0,3.0,No,553,None,698,461,None,1964.0,1251,TA,8800,80.0,425.0,116,6,6,1251,1964,1964,160000
742,742.0,3.0,No,0,Unf,742,0,None,1980.0,1484,TA,6300,35.0,0.0,291,6,6,742,1914,2001,128000
1130,0.0,2.0,No,821,None,299,720,Unf,1970.0,1130,TA,10800,60.0,0.0,0,6,5,1120,1920,1950,120000
833,0.0,3.0,No,625,None,208,0,None,1980.0,833,TA,8780,69.0,0.0,0,5,5,833,1985,1985,112000
798,0.0,3.0,No,94,LwQ,641,220,Unf,1949.0,1487,TA,8741,52.0,0.0,140,4,6,735,1945,1950,113000
840,840.0,3.0,No,0,Unf,840,308,None,1960.0,1680,TA,15576,63.0,0.0,0,7,6,840,1915,1976,177000
1636,971.0,3.0,No,152,Rec,977,0,None,1980.0,3086,Ex,18030,138.0,0.0,0,6,5,1598,1946,1994,200500
1108,989.0,3.0,Av,975,GLQ,133,583,RFn,1998.0,2097,Gd,9750,75.0,0.0,170,6,7,1108,1998,1998,274300
1713,0.0,3.0,Av,1088,GLQ,625,856,Fin,2004.0,1713,Ex,9591,76.0,262.0,26,5,8,1713,2004,2005,274900
1052,0.0,3.0,Av,504,None,506,440,Unf,1971.0,1052,TA,8816,80.0,80.0,0,7,6,1010,1971,1971,155000
902,0.0,2.0,Av,301,BLQ,239,484,Unf,1983.0,902,TA,8885,69.0,0.0,0,5,5,864,1983,1983,131000
893,0.0,2.0,No,220,ALQ,625,576,Unf,1985.0,893,Gd,9600,60.0,0.0,0,7,5,845,1949,2003,135000
925,550.0,4.0,No,548,ALQ,36,336,RFn,1977.0,1475,TA,2665,41.0,0.0,26,6,5,757,1977,1977,127000
1142,0.0,3.0,No,874,ALQ,268,528,Fin,1976.0,1142,TA,4224,44.0,0.0,90,5,5,1142,1976,1976,134000
892,0.0,3.0,No,432,BLQ,460,288,RFn,1967.0,892,TA,7150,65.0,60.0,0,5,5,892,1967,1967,100000
1440,1440.0,8.0,No,256,LwQ,1184,0,None,1980.0,3395,Fa,10896,60.0,0.0,110,7,6,1440,1914,1995,200000
1468,795.0,3.0,No,795,ALQ,0,539,Fin,1977.0,2263,Gd,16659,69.0,34.0,250,7,7,795,1977,1994,235000
907,0.0,3.0,No,288,Rec,619,352,Unf,1964.0,907,TA,8593,77.0,0.0,0,6,4,907,1957,1957,109008
1304,983.0,3.0,No,603,BLQ,701,667,Fin,1953.0,2287,TA,15593,81.0,0.0,21,4,7,1304,1953,1953,225000
789,0.0,2.0,No,0,Unf,768,200,Unf,1926.0,789,TA,10594,55.0,0.0,0,5,5,768,1926,1950,96500
998,764.0,4.0,No,0,Unf,596,576,Unf,1989.0,1762,Gd,7200,60.0,0.0,0,7,7,596,1920,1950,157000
894,0.0,3.0,No,552,None,342,400,Unf,1999.0,894,TA,9450,68.0,0.0,0,5,4,894,1954,1954,110000
918,765.0,3.0,No,226,LwQ,192,440,RFn,1978.0,1683,TA,11184,70.0,92.0,0,5,6,918,1978,1978,172500
912,336.0,2.0,No,324,LwQ,588,160,Unf,1957.0,1248,TA,9439,52.0,0.0,0,5,5,912,1930,1950,87000
1010,1257.0,4.0,No,0,Unf,1010,390,RFn,2002.0,2267,Gd,8068,69.0,0.0,46,5,6,1010,2002,2002,200000
864,0.0,2.0,No,0,Unf,864,0,None,1980.0,864,TA,4060,56.0,0.0,96,8,5,864,1922,1950,99900
1063,0.0,3.0,No,354,Rec,412,280,RFn,1954.0,1063,TA,9920,80.0,110.0,0,5,5,1056,1954,1954,128000
818,406.0,3.0,No,468,Rec,350,210,Unf,1926.0,1224,TA,3950,69.0,0.0,0,8,6,818,1926,2004,115000
1226,0.0,3.0,No,0,Unf,1226,740,RFn,2009.0,1226,Gd,10402,94.0,0.0,36,5,7,1226,2009,2009,198900
900,0.0,3.0,No,450,BLQ,432,280,Unf,1970.0,900,TA,9819,69.0,31.0,0,5,5,882,1967,1967,122000
831,829.0,3.0,No,0,Unf,831,493,RFn,2002.0,1660,Gd,8935,68.0,95.0,68,5,7,831,2002,2002,195000
1148,0.0,2.0,Mn,210,LwQ,219,308,Unf,1952.0,1148,TA,6420,57.0,0.0,0,7,5,980,1952,1952,123500
1032,0.0,3.0,Av,605,ALQ,427,564,Unf,1978.0,1032,TA,10395,69.0,233.0,0,6,6,1032,1978,1978,148000
990,0.0,3.0,No,495,GLQ,495,299,Unf,1996.0,990,TA,8775,65.0,0.0,64,5,5,990,1994,1994,126000
1428,0.0,3.0,No,0,None,1417,554,RFn,2008.0,1428,Ex,12274,91.0,256.0,60,5,7,1417,2008,2008,227680
581,530.0,3.0,No,0,Unf,530,288,Unf,1935.0,1111,Fa,7200,60.0,0.0,0,7,5,530,1920,1996,101000
1284,885.0,3.0,No,0,None,1284,647,RFn,2002.0,2169,Gd,9375,69.0,149.0,87,5,8,1284,2002,2002,228500
1161,808.0,3.0,No,0,Unf,808,534,RFn,1977.0,1969,TA,11952,92.0,0.0,0,6,7,808,1977,1977,190000
1145,0.0,4.0,Av,655,GLQ,490,836,RFn,2000.0,2198,Gd,14260,84.0,350.0,84,5,8,1145,2000,2000,250000
1152,0.0,3.0,Av,1014,GLQ,138,484,RFn,1964.0,1152,TA,14112,69.0,86.0,0,7,5,1152,1964,1964,180500
1134,924.0,3.0,No,319,Rec,416,396,Unf,1950.0,2058,TA,9600,60.0,0.0,0,5,6,735,1917,1950,129500
1008,0.0,4.0,No,0,Unf,1008,0,None,1980.0,1522,TA,6000,60.0,0.0,0,5,5,1008,1926,1950,102000
971,0.0,3.0,Gd,523,None,448,300,Unf,1969.0,971,TA,9920,69.0,0.0,0,6,5,971,1969,1969,128500
1128,445.0,3.0,No,0,Unf,1078,360,Unf,1930.0,1573,TA,6240,52.0,0.0,0,7,5,1078,1930,1992,162900
1624,0.0,2.0,No,1456,GLQ,168,757,RFn,1994.0,1624,Gd,12461,89.0,0.0,114,5,8,1624,1994,1995,262000
483,504.0,2.0,No,330,BLQ,153,264,Unf,1973.0,987,TA,1680,21.0,158.0,0,5,6,483,1973,1973,100000
1800,0.0,6.0,No,0,Unf,1800,0,None,1980.0,1800,TA,8000,80.0,0.0,0,4,5,1800,1961,1961,141000
1265,0.0,3.0,Gd,633,ALQ,586,502,RFn,1965.0,1265,Gd,9350,85.0,0.0,92,8,5,1219,1965,1999,179900
1048,0.0,3.0,No,580,BLQ,333,288,Unf,1962.0,1558,TA,10930,60.0,0.0,0,6,5,913,1945,1950,140000
969,0.0,3.0,Av,716,BLQ,253,440,Unf,1975.0,969,TA,10356,120.0,0.0,0,6,5,969,1975,1975,122000
1212,0.0,3.0,No,0,Unf,1212,573,RFn,2001.0,1212,Gd,9100,70.0,0.0,0,5,7,1212,2001,2001,178000
894,0.0,3.0,No,894,ALQ,0,552,Unf,1975.0,894,TA,9800,70.0,0.0,0,7,5,894,1972,1972,149900
698,560.0,2.0,Mn,204,Rec,356,280,Unf,1939.0,1258,TA,9060,60.0,0.0,0,5,6,560,1939,1950,105000
1288,0.0,1.0,No,786,GLQ,474,500,Fin,1996.0,1288,Ex,14963,38.0,0.0,30,5,8,1260,1996,1996,245500
794,676.0,3.0,Av,182,GLQ,612,388,Fin,1997.0,1470,TA,13869,69.0,0.0,75,6,6,794,1997,1997,177000
1050,0.0,2.0,No,504,Rec,546,338,Unf,1956.0,1050,TA,9600,80.0,0.0,0,6,5,1050,1956,1956,128900
1225,0.0,3.0,No,569,ALQ,381,0,None,1980.0,1225,TA,9320,77.0,0.0,0,5,4,950,1959,1959,128950
2223,0.0,3.0,Gd,1880,ALQ,343,516,Fin,1973.0,2223,TA,13651,95.0,1115.0,0,6,7,2223,1973,1973,244000
1065,0.0,3.0,No,0,Unf,1065,461,Unf,1974.0,1065,TA,8892,80.0,66.0,0,5,5,1065,1960,1960,126500
901,900.0,3.0,No,0,Unf,893,800,None,2005.0,1801,Gd,10463,72.0,0.0,116,5,8,893,2005,2005,239900
1022,1032.0,3.0,No,695,GLQ,297,390,RFn,2000.0,2054,Gd,12224,69.0,40.0,48,5,6,992,2000,2000,244000
1301,1116.0,4.0,No,0,Unf,1288,462,Unf,1991.0,2417,Gd,16059,121.0,284.0,82,5,8,1288,1991,1992,260000
