1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
986,0.0,2.0,No,0,Unf,960,180,Unf,1926.0,986,TA,6180,60.0,0.0,128,5,6,960,1926,1950
813,0.0,2.0,No,0,Unf,813,270,Unf,1932.0,813,Gd,5684,70.0,0.0,113,8,6,813,1930,2005
1120,0.0,3.0,No,932,ALQ,108,544,RFn,1961.0,1120,Fa,6970,85.0,0.0,0,5,4,1040,1961,1961
910,648.0,4.0,No,420,BLQ,490,282,Unf,1950.0,1558,TA,13710,75.0,0.0,0,5,5,910,1950,1950
1302,432.0,4.0,,0,,0,539,Unf,1977.0,1734,Gd,10125,75.0,0.0,0,5,5,0,1977,1977
879,984.0,4.0,Av,0,Unf,879,660,Fin,2006.0,1863,Gd,14054,58.0,0.0,17,5,7,879,2006,2006
1502,0.0,1.0,Av,368,GLQ,0,528,RFn,1985.0,1502,Gd,6820,69.0,0.0,54,5,8,1488,1985,1985
682,548.0,2.0,No,0,Unf,440,440,Unf,1966.0,1230,TA,10440,60.0,0.0,0,6,5,440,1910,1981
1407,985.0,3.0,No,1074,GLQ,322,870,Fin,1997.0,2392,Gd,9452,82.0,423.0,70,5,8,1396,1997,1998
1180,0.0,3.0,Gd,1065,GLQ,92,454,,1988.0,2062,TA,14364,69.0,128.0,55,5,7,1157,1988,1989
2069,0.0,4.0,Gd,425,GLQ,160,505,RFn,1960.0,2069,Gd,27650,313.0,0.0,0,7,7,585,1960,2007
1520,0.0,3.0,Av,674,BLQ,350,364,RFn,1955.0,1520,TA,9600,80.0,164.0,0,6,6,1156,1955,1972
846,846.0,3.0,Av,0,Unf,846,650,RFn,2009.0,1692,Gd,13159,83.0,0.0,114,5,7,846,2009,2009
2392,0.0,3.0,Gd,56,GLQ,2336,968,Fin,2003.0,2392,Ex,13472,103.0,922.0,105,5,10,2392,2003,2003
1222,888.0,3.0,No,695,GLQ,253,463,RFn,1994.0,2110,Gd,8880,69.0,0.0,130,5,7,948,1994,2002
861,0.0,1.0,No,262,BLQ,599,539,,1961.0,861,TA,12342,69.0,0.0,0,5,4,861,1940,1950
1394,0.0,3.0,No,609,BLQ,785,514,RFn,1963.0,1394,TA,9500,69.0,247.0,76,5,6,1394,1963,1963
1582,0.0,4.0,Av,812,Rec,812,390,Unf,1964.0,1582,TA,36500,69.0,621.0,198,5,5,1624,1964,1964
1137,817.0,3.0,No,341,BLQ,457,431,,1939.0,1954,Gd,15660,69.0,312.0,119,9,7,798,1939,2006
1306,0.0,2.0,Mn,860,BLQ,132,756,Unf,1968.0,1306,TA,8712,64.0,0.0,0,7,5,992,1957,2000
1092,0.0,3.0,No,787,Rec,305,504,RFn,1964.0,1092,TA,8250,75.0,260.0,0,7,6,1092,1964,1964
693,0.0,2.0,No,0,,693,0,,1980.0,693,Fa,4118,153.0,0.0,20,4,4,693,1941,1950
928,836.0,3.0,No,821,GLQ,107,470,RFn,1997.0,1764,Gd,15426,65.0,0.0,99,5,6,928,1997,1997
1839,0.0,3.0,No,1186,GLQ,291,416,Fin,1957.0,1839,Gd,14442,110.0,106.0,87,7,6,1477,1957,2004
1549,1178.0,3.0,No,297,Rec,556,440,Unf,1932.0,2727,Gd,10570,70.0,0.0,74,8,8,853,1932,1994
2073,0.0,3.0,No,790,ALQ,589,500,Unf,1978.0,2073,TA,13175,85.0,119.0,0,6,6,1542,1978,1988
2411,2065.0,4.0,Av,2096,GLQ,300,813,Fin,1996.0,4476,Ex,15623,160.0,0.0,78,5,10,2396,1996,1996
958,0.0,2.0,No,120,ALQ,958,440,RFn,1977.0,958,TA,4928,69.0,0.0,205,5,6,1078,1976,1976
546,546.0,3.0,No,0,Unf,546,286,Unf,1970.0,1092,TA,2001,21.0,80.0,0,5,4,546,1970,1970
1363,0.0,2.0,No,650,BLQ,178,288,Unf,1951.0,1363,TA,14559,75.0,70.0,42,7,5,1008,1951,2000
1431,0.0,3.0,Gd,371,GLQ,728,296,RFn,1962.0,1431,TA,9150,101.0,305.0,110,5,6,1099,1962,1962
1795,0.0,2.0,Av,0,Unf,1795,895,RFn,2007.0,1795,Gd,9986,75.0,428.0,49,5,8,1795,2006,2007
694,0.0,3.0,No,0,Unf,672,936,Unf,1998.0,1214,TA,10410,60.0,0.0,0,4,3,672,1915,1950
1976,0.0,2.0,Gd,1350,,626,908,RFn,2006.0,1976,Gd,14977,110.0,304.0,63,5,8,1976,2006,2007
932,920.0,3.0,No,822,GLQ,78,644,RFn,2009.0,1852,Gd,8640,72.0,0.0,108,5,7,900,2009,2009
1709,0.0,2.0,Av,1238,GLQ,460,506,Fin,1999.0,1709,Gd,5119,50.0,60.0,65,5,9,1698,1999,2000
2515,0.0,4.0,No,1219,Rec,816,484,,1975.0,2515,TA,32668,69.0,0.0,0,3,6,2035,1957,1975
630,0.0,1.0,Av,495,ALQ,135,0,,1980.0,630,TA,1890,21.0,0.0,0,7,4,630,1972,1972
1039,0.0,3.0,Mn,841,BLQ,198,504,Unf,1965.0,1039,TA,11625,75.0,0.0,0,4,5,1039,1965,1965
1276,0.0,3.0,No,0,Unf,1276,350,Unf,1958.0,1276,TA,9571,68.0,0.0,0,3,5,1276,1958,1958
1850,0.0,3.0,Gd,1261,GLQ,572,772,Fin,2004.0,1850,Gd,16033,98.0,378.0,112,5,9,1833,2004,2005
864,0.0,3.0,No,600,BLQ,264,576,Unf,1980.0,864,TA,12735,69.0,0.0,0,5,4,864,1972,1972
1040,0.0,3.0,No,906,Rec,134,384,Unf,1965.0,1040,TA,11200,70.0,0.0,0,5,5,1040,1965,1965
1040,0.0,2.0,,0,,0,420,Unf,1950.0,1040,TA,7200,60.0,0.0,29,5,4,0,1950,1950
1088,0.0,2.0,No,0,Unf,1074,461,RFn,1987.0,1088,Gd,3696,69.0,0.0,74,5,8,1074,1986,1986
933,975.0,4.0,No,642,GLQ,273,493,Unf,1994.0,1908,Gd,8750,70.0,0.0,133,5,7,915,1994,1995
